Date,Open,High,Low,Close,Adj Close,Volume
2022-08-29,58700.0,58900.0,58600.0,58600.0,57219.921875,9841329
2022-08-30,58700.0,59000.0,58300.0,58800.0,57415.2109375,9690044
2022-08-31,58200.0,59900.0,58200.0,59700.0,58294.01953125,14203512
2022-09-01,58700.0,58900.0,58300.0,58400.0,57024.6328125,14905777
2022-09-02,58300.0,58600.0,57500.0,57500.0,56145.83203125,15040310
2022-09-05,57400.0,57800.0,56800.0,57100.0,55755.25,11425977
2022-09-06,57200.0,57600.0,56900.0,57100.0,55755.25,7503086
2022-09-07,56700.0,56700.0,55900.0,56000.0,54681.15234375,17384854
2022-09-08,56200.0,56400.0,55600.0,55600.0,54290.57421875,18000016
2022-09-13,57000.0,58500.0,56800.0,58100.0,56731.6953125,17166581
2022-09-14,56200.0,57200.0,56100.0,56800.0,55462.3125,12524961
2022-09-15,57000.0,57100.0,56000.0,56000.0,54681.15234375,11664819
2022-09-16,55600.0,56400.0,55500.0,56200.0,54876.44140625,13456503
2022-09-19,56300.0,57000.0,56000.0,56400.0,55071.73046875,12278653
2022-09-20,56400.0,57000.0,55800.0,55800.0,54485.86328125,14041465
2022-09-21,55400.0,55500.0,55000.0,55300.0,53997.63671875,11863700
2022-09-22,54600.0,54700.0,54300.0,54400.0,53118.8359375,12786510
2022-09-23,54400.0,54900.0,54200.0,54500.0,53216.4765625,10555964
2022-09-26,53700.0,54200.0,53600.0,53900.0,52630.61328125,15008449
2022-09-27,53800.0,54200.0,53500.0,54200.0,52923.546875,16631289
2022-09-28,53900.0,54400.0,52500.0,52900.0,51654.16015625,19991129
2022-09-29,53300.0,53700.0,52600.0,52600.0,51714.1328125,13882080
2022-09-30,52300.0,53600.0,51800.0,53100.0,52205.7109375,22503249
2022-10-04,55300.0,55400.0,54500.0,55200.0,54270.34765625,19148435
2022-10-05,56900.0,57200.0,55400.0,56000.0,55056.87109375,22458970
2022-10-06,56700.0,57300.0,56300.0,56300.0,55351.8203125,14944446
2022-10-07,55900.0,56900.0,55200.0,56200.0,55253.50390625,16886813
2022-10-11,54400.0,55700.0,54000.0,55400.0,54466.9765625,21437877
2022-10-12,55700.0,57000.0,55200.0,55800.0,54860.2421875,18408910
2022-10-13,55400.0,56100.0,55200.0,55200.0,54270.34765625,13784602
2022-10-14,56200.0,56500.0,55800.0,56300.0,55351.8203125,12924326
2022-10-17,55800.0,57000.0,55700.0,56600.0,55646.76953125,13641878
2022-10-18,56700.0,57100.0,55800.0,56500.0,55548.453125,14820702
2022-10-19,56700.0,56900.0,55700.0,55800.0,54860.2421875,12660652
2022-10-20,55200.0,56000.0,55100.0,55500.0,54565.29296875,17107653
2022-10-21,55100.0,56300.0,55100.0,55900.0,54958.5546875,11456060
2022-10-24,57000.0,57500.0,56700.0,57500.0,56531.61328125,16944503
2022-10-25,57000.0,58600.0,57000.0,57700.0,56728.2421875,17405678
2022-10-26,58000.0,59600.0,57700.0,59400.0,58399.61328125,20824967
2022-10-27,59700.0,60100.0,58900.0,59500.0,58497.92578125,21756712
2022-10-28,58900.0,59200.0,57200.0,57300.0,56334.9765625,20924937
2022-10-31,58100.0,59900.0,58000.0,59400.0,58399.61328125,18999514
2022-11-01,59900.0,60300.0,59500.0,60000.0,58989.50390625,17201647
2022-11-02,59700.0,60000.0,59300.0,59600.0,58596.2421875,13202919
2022-11-03,58600.0,59800.0,58100.0,59200.0,58202.98046875,17492162
